name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,one_star_reviews
UFC GYM Kailua·Lien consulté,"573 Kailua Rd #200, Kailua, HI 96734, États-Unis",ufcgym.com,+1 808-800-2958,0,3.9,21.3503227,-176.3974456,0
F45 Training Ala Moana·Lien consulté,"956 Kawaiaha‘o St, Honolulu, HI 96814, États-Unis",f45training.com,+1 808-888-8845,0,4.8,21.3503227,-176.3974456,0
24 Hour Fitness·Lien consulté,"95-221 Kipapa Dr Suite 5101, Mililani, HI 96789, États-Unis",24hourfitness.com,+1 808-627-7400,0,3.5,21.3503227,-176.3974456,0
UFC GYM Mililani·Lien consulté,"95-1249 Meheula Pkwy E1, Mililani, HI 96789, États-Unis",ufcgym.com,+1 808-825-4880,0,4.3,21.3503227,-176.3974456,0
REVEL FIT CLUB·Lien consulté,"4275 Mission Bay Dr. #110, San Diego, CA 92109, États-Unis",revelfitclub.com,+1 858-868-5020,0,5.0,32.8006151,-135.6699463,0
24 Hour Fitness·Lien consulté,"1000 Bishop St, Honolulu, HI 96813, États-Unis",24hourfitness.com,+1 808-545-5510,0,3.7,21.3088924,-176.3184342,0
Muscle Beach Venice Gym·Lien consulté,"1817 Ocean Front Walk, Venice, CA 90291, États-Unis",laparks.org,+1 310-396-6764,0,4.5,33.9853693,-136.9295473,0
Orangetheory Fitness·Lien consulté,"449 Kapahulu Ave #101, Honolulu, HI 96815, États-Unis",orangetheory.com,+1 808-445-9227,0,4.7,21.2749136,-176.2724605,0
Kaneohe Bay Semper Fit Centers·Lien consulté,"3037 G St, Kailua, HI 96734, États-Unis",mccshawaii.com,+1 808-254-7597,0,4.1,21.2749136,-176.2724605,0
Ikaika Fitness Gym·Lien consulté,"815 Waimanu St, Honolulu, HI 96813, États-Unis",ikaikafitness.com,+1 808-497-3022,0,3.9,21.2749136,-176.2724605,0
UFC GYM Waikele·Lien consulté,"94-877 Lumiaina St, Waipahu, HI 96797, États-Unis",ufcgym.com,+1 808-445-9490,0,4.3,21.2749136,-176.2724605,0
Hilton Hawaiian Village Gym·Lien consulté,"2001 Kālia Rd, Honolulu, HI 96815, États-Unis",hilton.com,,0,4.3,21.2749136,-176.2724605,0
CrossFit Oahu·Lien consulté,"556 Reed Ln, Honolulu, HI 96813, États-Unis",crossfitoahu.com,+1 808-215-5144,0,5.0,21.2749136,-176.2724605,0
Helemano Military Reservation Physical Fitness Center·Lien consulté,"441 Kuapale Rd, Wahiawa, HI 96786, États-Unis",himwr.com,+1 808-787-7460,0,4.5,21.2749136,-176.2724605,0
Fit Waikiki·Lien consulté,"2490 Kalākaua Ave, Honolulu, HI 96815, États-Unis",alohilaniresort.com,+1 808-921-6171,0,4.9,21.2749136,-176.2724605,0
American Iron Gym·Lien consulté,"650 S Rock Blvd, Reno, NV 89502, États-Unis",american-iron.com,+1 775-856-4766,0,4.9,39.5029193,-138.2195887,0
Hickam Memorial Fitness Center·Lien consulté,"1120 Vickers Ave, Joint Base Pearl Harbor-Hickam, HI 96853, États-Unis",,+1 808-448-2214,0,4.0,21.3402659,-176.4128612,0
Kauai Athletic Club Kapaa·Lien consulté,"5611 Kawaihau Rd, Kapaʻa, HI 96746, États-Unis",kauaiathleticclub.com,+1 808-431-4873,0,4.7,21.3402659,-176.4128612,0
Elite Spartans Gym·Lien consulté,"3278 Almaden Expy Suite 150, San Jose, CA 95118, États-Unis",elitespartans.com,+1 408-624-7479,0,4.9,37.2737292,-140.3350048,0
R1PFITNESS·Lien consulté,"94-111 Leokane St, Waipahu, HI 96797, États-Unis",r1pfitness.com,+1 808-208-1066,0,5.0,21.3754776,-176.476184,0
Ukiyo Hawai’i·Lien consulté,"670 Auahi St I-10A, Honolulu, HI 96813, États-Unis",ukiyohawaii.com,+1 808-772-1823,0,5.0,21.3754776,-176.476184,0
CrossFit Kailua·Lien consulté,"167 Hamakua Dr, Kailua, HI 96734, États-Unis",crossfitkailua.com,,0,4.9,21.3754776,-176.476184,0
Island Club and Spa Kakaako·Lien consulté,"1177 Queen St, Honolulu, HI 96814, États-Unis",islandclubandspa.com,+1 808-543-3900,0,4.0,21.3754776,-176.476184,0
